OGLE-2003-BLG-171

Field          BLG176.4
StarNo         4847
RA(J2000.0)    18:06:25.21
Dec(J2000.0)   -31:03:46.4
Remarks        

  Tmax   2452809.986     0.210
  tau         22.013     0.257
  umin         0.959     0.004
  Amax         1.372     0.004
  Dmag         0.344     0.000
  fbl          1.000     0.000
  I_bl        16.389     0.000
  I0          16.389     0.000
