2452128.70412 19.362 0.088
2452131.62196 19.357 0.084
2452135.59255 19.416 0.071
2452140.57255 19.421 0.095
2452143.67890 19.328 0.074
2452162.64867 19.302 0.110
2452170.55518 19.418 0.093
2452173.62879 19.761 0.121
2452183.57283 19.357 0.156
2452185.50684 19.563 0.132
2452200.53073 19.349 0.118
2452328.84407 19.707 0.114
2452344.89752 19.424 0.077
2452351.85948 19.347 0.073
2452360.86894 19.404 0.082
2452371.84277 19.399 0.085
2452381.85008 19.347 0.070
2452385.87059 19.517 0.088
2452389.87396 19.461 0.093
2452391.76763 19.300 0.148
2452400.75666 19.350 0.086
2452400.78416 19.233 0.079
2452402.86926 19.451 0.099
2452404.91979 19.260 0.072
2452406.90657 19.371 0.087
2452414.83693 19.424 0.081
2452416.72968 19.237 0.082
2452424.78550 19.388 0.086
2452426.73481 19.363 0.104
2452428.81568 19.362 0.088
2452431.74750 19.281 0.089
2452433.72104 19.446 0.086
2452435.67392 19.452 0.089
2452437.73263 19.407 0.116
2452439.66932 19.385 0.073
2452441.64605 19.265 0.063
2452444.64809 19.336 0.085
2452446.74542 19.428 0.089
2452452.65513 19.579 0.169
2452458.79114 19.374 0.090
2452462.65110 19.425 0.071
2452464.60941 19.405 0.071
2452467.50229 19.564 0.108
2452469.51197 19.379 0.077
2452471.74761 19.417 0.068
2452473.50024 19.095 0.097
2452483.58042 19.375 0.087
2452486.54885 19.492 0.108
2452490.53151 19.557 0.115
2452492.77034 19.578 0.153
2452495.56211 19.440 0.087
2452497.62017 19.475 0.075
2452499.66632 19.479 0.078
2452501.68451 19.312 0.071
2452508.50303 19.714 0.130
2452511.68000 19.415 0.119
2452518.59654 19.250 0.078
2452521.61013 19.562 0.109
2452535.53966 19.688 0.158
2452541.51500 19.423 0.078
2452546.55704 19.456 0.109
2452555.56467 19.400 0.123
2452562.51766 19.537 0.136
2452574.49345 19.490 0.139
2452713.84104 19.344 0.118
2452727.88343 19.249 0.066
2452732.90134 19.232 0.094
2452743.88871 19.174 0.058
2452752.80219 19.155 0.074
2452755.91149 19.172 0.068
2452759.90316 19.184 0.072
2452765.92997 19.131 0.079
2452770.65908 19.019 0.086
2452782.89987 18.955 0.084
2452784.85897 18.810 0.049
2452786.73180 18.854 0.118
2452789.60315 18.703 0.048
2452791.56420 18.683 0.058
2452796.66433 18.431 0.030
2452802.71588 18.129 0.041
2452808.76072 17.508 0.022
2452810.69160 17.121 0.013
2452812.66044 16.572 0.009
2452815.68503 16.645 0.009
2452816.82020 16.923 0.014
2452817.82951 17.164 0.015
2452819.62355 17.486 0.018
2452821.59376 17.709 0.024
2452830.63294 18.365 0.059
2452835.56079 18.662 0.077
2452836.79210 18.738 0.085
2452838.68541 18.817 0.055
2452840.66106 18.727 0.042
2452842.68853 18.769 0.048
2452849.61741 18.948 0.072
2452851.65373 19.017 0.055
2452853.66325 19.083 0.053
2452856.53865 19.027 0.076
2452858.51588 18.976 0.064
2452860.66929 18.980 0.097
2452863.66304 19.082 0.090
2452867.62254 19.126 0.059
2452876.67606 19.295 0.074
2452879.62084 19.083 0.065
2452882.57418 19.415 0.090
2452885.62981 19.474 0.151
2452893.68402 19.185 0.083
2452896.55436 19.385 0.086
2452907.51072 19.310 0.118
2452925.54834 19.257 0.081
2452935.56209 19.092 0.108
2453049.86109 19.378 0.085
