OGLE-2003-BLG-208

Field          BLG143.6
StarNo         93665
RA(J2000.0)    17:58:19.97
Dec(J2000.0)   -33:31:50.5
Remarks        

  Tmax   2452814.088     0.019
  tau         80.924     8.001
  umin         0.023     0.003
  Amax        43.555     4.940
  Dmag         4.098     0.000
  fbl          0.367     0.038
  I_bl        19.395     0.011
  I0          20.484     0.124
